date,IDT,WDAY,HOUR,MIN,WFT,CO2,REHU,LGHT,RAIN,WIND,SLWF,ODTM,ODRH
2012-03-13 11:45:00,18.1875,1,11,45,0.0,216.56,39.9125,81.665,0.0,1.42625,9690.24,18.115,48.375
2012-03-13 12:00:00,18.4633,1,12,0,6.8,219.947,39.9267,81.7413,0.0,1.5919999999999999,11022.0,18.4147,47.808
2012-03-13 12:15:00,18.7673,1,12,15,17.0,219.403,39.772,81.42399999999999,0.0,1.89133,13960.5,18.8533,47.431999999999995
2012-03-13 12:30:00,19.0727,1,12,30,18.0,218.613,39.775999999999996,81.5013,0.0,1.828,18511.2,19.2907,47.023999999999994
2012-03-13 12:45:00,19.3721,1,12,45,20.0,217.71400000000003,39.7757,81.4657,0.0,2.3607099999999996,26349.0,19.74,45.4743
2012-03-13 13:00:00,19.6407,1,13,0,20.0,218.389,39.8107,81.2427,0.0,2.06333,36511.7,20.166,45.5467
2012-03-13 13:15:00,19.912,1,13,15,20.0,218.155,39.8613,81.36,0.0,2.23067,49288.5,20.566,44.968
2012-03-13 13:30:00,20.164,1,13,30,20.0,216.66099999999997,39.824,81.024,0.0,1.9240000000000002,62253.7,20.8427,45.1813
2012-03-13 13:45:00,20.412,1,13,45,20.0,217.46099999999998,39.9587,81.104,0.0,2.51067,71453.4,21.204,45.416000000000004
2012-03-13 14:00:00,20.64,1,14,0,20.0,215.34900000000002,39.94,81.1813,0.0,2.65333,80076.8,21.5227,45.0213
2012-03-13 14:15:00,20.8453,1,14,15,20.0,213.888,39.9813,61.0693,0.0,2.82667,86682.3,21.756,44.36
2012-03-13 14:30:00,21.0333,1,14,30,20.0,215.41299999999998,40.3587,51.2373,0.0,2.49467,88648.4,21.984,44.7947
2012-03-13 14:45:00,21.2333,1,14,45,20.0,216.021,40.9107,43.3733,0.0,2.4659999999999997,91406.3,22.108,43.983999999999995
2012-03-13 15:00:00,21.4293,1,15,0,19.6667,216.25599999999997,41.1987,36.2653,0.0,2.432,90472.4,22.1373,44.5467
2012-03-13 15:15:00,21.488000000000003,1,15,15,19.0,213.173,41.88,34.476,0.0,1.732,88391.7,22.08,44.7813
2012-03-13 15:30:00,21.524,1,15,30,18.6667,211.093,43.2213,31.1267,0.0,1.89133,89134.4,21.9373,45.6773
2012-03-13 15:45:00,21.584,1,15,45,18.2,211.157,43.3653,21.441999999999997,0.0,1.64267,88462.7,21.7067,45.5173
2012-03-13 16:00:00,21.612,1,16,0,18.0,209.419,42.744,20.822,0.0,1.59067,85333.3,21.4667,45.2373
2012-03-13 16:15:00,21.664,1,16,15,18.0,209.408,42.216,20.8233,0.0,1.732,84587.9,21.1773,45.0747
2012-03-13 16:30:00,21.6853,1,16,30,18.0,209.547,41.976000000000006,21.2633,0.0,1.59,78588.6,20.9373,45.071999999999996
2012-03-13 16:45:00,21.788,1,16,45,18.0,212.715,41.52,20.4807,0.0,1.94733,74555.4,20.7107,44.128
2012-03-13 17:00:00,21.831999999999997,1,17,0,18.7333,212.405,41.3253,20.741999999999997,0.0,1.564,65830.9,20.4627,43.2747
2012-03-13 17:15:00,21.808000000000003,1,17,15,19.0,212.06400000000002,40.8667,20.84,0.0,1.544,40424.4,20.2047,43.6107
2012-03-13 17:30:00,21.768,1,17,30,18.6667,211.21099999999998,40.9813,20.9207,0.0,1.08867,3024.9,19.976,45.8293
2012-03-13 17:45:00,21.7133,1,17,45,18.0,211.051,41.4107,19.4407,0.0,0.8446670000000001,2207.74,19.756,47.0693
2012-03-13 18:00:00,21.66,1,18,0,18.0,210.763,41.992,11.5887,0.0,1.442,1017.86,19.5273,49.5467
2012-03-13 18:15:00,21.596,1,18,15,18.0,210.571,43.1973,11.5073,0.0,0.969333,0.0,19.3013,52.2027
2012-03-13 18:30:00,21.5307,1,18,30,17.8667,209.92,43.8213,11.5073,0.0,0.798667,0.0,19.0413,53.8053
